station_id,station_name,latitude,longitude
287,Almaden Blvd at Balbach St,37.32673,-121.8892731
157,65th St at Hollis St,37.8467842,-122.2913761
314,Santa Clara St at Almaden Blvd,37.333988,-121.894902
265,Ninth St at Parker St,37.8588682,-122.2912095
169,Bushrod Park,37.8465156,-122.2653043
378,Empire St at 7th St,37.34774457,-121.8908
361,Mendell St at Fairfax Ave,37.73985302,-122.3856555
344,16th St Depot,37.76634859,-122.3962918
360,Newhall St at 3rd St,37.73857187,-122.3896178
290,George St at 1st St,37.3477319,-121.899464
288,Mission St at 1st St,37.3509643,-121.9020161
84,Duboce Park,37.7692005,-122.4338119
297,Locust St at Grant St,37.3229796,-121.8879312
213,32nd St at Adeline St,37.8238474,-122.2811926
212,Mosswood Park,37.82489253,-122.2604365
283,Delmas Ave and San Fernando St,37.3302641,-121.8977018
362,Lane St at Revere Ave,37.73172669,-122.3900557
200,2nd Ave at E 18th St,37.80021357,-122.2538102
286,San Carlos St at 11th St,37.3364659,-121.8766132
359,Williams Ave at Apollo St,37.73016751,-122.3989633
177,MacArthur Blvd at Telegraph Ave,37.8262863,-122.2651002
299,Bestor Art Park,37.3236779,-121.8741186
206,College Ave at Bryant Ave,37.8381269,-122.2512714
205,Miles Ave at Cavour St,37.8388,-122.258732
306,Saint James Park,37.339301,-121.889937
231,14th St at Filbert St,37.80874983,-122.2832823
358,Williams Ave at 3rd St,37.72927865,-122.3928961
227,Foothill Blvd at Fruitvale Ave,37.7837569,-122.2226033
236,Market St at 8th St,37.8036865,-122.282497
388,Backesto Park (Jackson St at 13th St),37.35288683,-121.8860498
222,10th Ave at E 15th St,37.7927143,-122.2487796
168,Alcatraz Ave at Shattuck Ave,37.84959497,-122.265569
204,55th St at Telegraph Ave,37.8401858,-122.2618225
189,Genoa St at 55th St,37.8396488,-122.2717561
188,Dover St at 57th St,37.8426295,-122.267738
271,San Pablo Park,37.85578332,-122.2831267
221,6th Ave at E 12th St (Temporary Location),37.794396,-122.253842
389,Taylor St at 9th St,37.35306166,-121.8919373
217,27th St at MLK Jr Way,37.8170154,-122.2717615
228,Foothill Blvd at Harrington Ave,37.77993,-122.2177284
225,23rd Ave at Foothill Blvd,37.7851915,-122.2343822
303,San Pedro St at Hedding St,37.352601,-121.905733
209,45th St at MLK Jr Way,37.8335577,-122.2674183
289,5th St at Taylor St,37.3510173,-121.8959209
301,Willow St at Vine St,37.3184498,-121.8831724
226,26th Ave at International Blvd,37.781123,-122.2329915
234,Farnam St at Fruitvale Ave,37.778058,-122.2254
229,Foothill Blvd at 42nd Ave,37.7757452,-122.2130372
224,21st Ave at International Blvd,37.78485466,-122.2393048
37,2nd St at Folsom St,37.78499973,-122.3959356
